ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
2595,3,3,5,1,2,AMRO,M,S,2,1,0,Beaver Basin,05-Jul-10,6:21
3637,3,3,5,1,2,AMGO,U,C,1,1,0,Beaver Basin,01-Jul-11,6:55
7490,3,3,5,1,2,RBNU,U,C,2,1,0,Beaver Basin,30-Jun-12,6:47
1881,3,3,5,1,2,AMRE,M,S,2,1,0,Spotted Hardwood,29-Jun-10,6:15
4660,3,3,5,1,1,AMRE,M,S,2,1,0,Spotted Hardwood,28-Jun-11,6:37
6623,3,3,5,1,1,AMCR,U,C,2,1,0,Spotted Hardwood,25-Jun-12,8:12
1980,3,3,5,1,1,YBSA,U,C,2,1,0,Stuart Lake,30-Jun-10,6:27
4445,3,3,5,1,2,AMRE,M,S,2,1,0,Stuart Lake,26-Jun-11,6:19
5427,3,3,5,1,2,BRCR,M,S,2,1,0,Stuart Lake,23-Jun-12,7:28
2596,3,3,6,1,2,PUFI,U,C,1,1,0,Beaver Basin,05-Jul-10,6:21
3638,3,3,6,1,2,CSWA,M,S,2,1,0,Beaver Basin,01-Jul-11,6:55
7491,3,3,6,1,2,RBNU,U,C,2,1,0,Beaver Basin,30-Jun-12,6:47
1882,3,3,6,1,2,SWTH,U,C,1,1,0,Spotted Hardwood,29-Jun-10,6:15
4661,3,3,6,1,2,AMRO,M,S,1,1,0,Spotted Hardwood,28-Jun-11,6:37
6624,3,3,6,1,1,AMCR,U,C,2,1,0,Spotted Hardwood,25-Jun-12,8:12
1981,3,3,6,1,1,BTBW,M,S,2,1,0,Stuart Lake,30-Jun-10,6:27
4446,3,3,6,1,2,OVEN,M,S,1,1,0,Stuart Lake,26-Jun-11,6:19
5428,3,3,6,1,2,HETH,M,S,2,1,0,Stuart Lake,23-Jun-12,7:28
2597,3,3,7,1,2,PUFI,U,C,1,1,0,Beaver Basin,05-Jul-10,6:21
3639,3,3,7,1,2,EACH,U,C,1,1,0,Beaver Basin,01-Jul-11,6:55
7492,3,3,7,1,2,AMRO,M,S,1,1,0,Beaver Basin,30-Jun-12,6:47
1883,3,3,7,1,2,OVEN,M,S,2,1,0,Spotted Hardwood,29-Jun-10,6:15
4662,3,3,7,1,2,OVEN,M,S,2,1,0,Spotted Hardwood,28-Jun-11,6:37
6625,3,3,7,1,2,REVI,M,S,1,1,0,Spotted Hardwood,25-Jun-12,8:12
1982,3,3,7,1,2,BTBW,M,S,1,1,0,Stuart Lake,30-Jun-10,6:27
4447,3,3,7,1,2,REVI,M,S,2,1,1,Stuart Lake,26-Jun-11,6:19
5429,3,3,7,1,2,REVI,M,S,2,1,1,Stuart Lake,23-Jun-12,7:28
